Case Number,Product Info,Case Owner,VENDOR,Case Origin,Customer Request,Type Leve 1,Type Level 2,Type Level 3,Cloesed Date,1-CR,2-CSAT,3-DSAT Reason,4-Satisfaction Driver,5-Open Suggestion,Work Order,SN,Service Center,Service Type,month,week,dayweek
CASE001038,Product A,Agent_011,NOT TP,Email,Individual,Billing,Other,Installation,2024-07-20,,,,,,,,,,julio,29,Saturday
CASE001039,,Agent_012,NOT TP,Chat,Individual,Technical,Other,Installation,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE001040,,Agent_015,TP,Phone,Individual,General,Hardware,Question,2024-08-13,,,,,,,,,,agosto,33,Tuesday
CASE001041,,Agent_040,NOT TP,Web,Business,Billing,Other,Installation,2024-07-14,,,,,,,,,,julio,28,Sunday
CASE001042,,Agent_017,TP,Chat,Individual,Billing,Hardware,Question,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001043,Product B,Agent_013,NOT TP,Web,Business,Billing,Software,Question,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE001044,,Agent_008,TP,Chat,Individual,Technical,Account,Question,2024-07-13,,,,,,,,,,julio,28,Saturday
CASE001045,,Agent_012,NOT TP,Email,Individual,General,Software,Installation,2024-08-15,,,,,,,,,,agosto,33,Thursday
CASE001046,Product C,Agent_043,TP,Email,Individual,Technical,Software,Error,2024-08-14,,,,,,WO6919,,,,agosto,33,Wednesday
CASE001047,Product A,Agent_037,NOT TP,Phone,Individual,Billing,Account,Question,2024-09-16,,,,,,,,,,septiembre,38,Monday
CASE001048,,Agent_004,NOT TP,Phone,Business,General,Other,Error,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE001049,Product B,Agent_049,TP,Web,Business,General,Software,Question,2024-07-06,,,,,,,,,Standard,julio,27,Saturday
CASE001050,Product C,Agent_036,NOT TP,Phone,Individual,Technical,Account,Installation,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE001051,,Agent_030,NOT TP,Phone,Business,Technical,Software,Installation,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001052,Product A,Agent_042,NOT TP,Web,Business,Billing,Software,Installation,2024-07-16,,,,,,,,,,julio,29,Tuesday
CASE001053,Product B,Agent_036,NOT TP,Chat,Individual,Billing,Account,Configuration,2024-08-18,,,,,,,,Center A,,agosto,33,Sunday
CASE001054,,Agent_005,NOT TP,Phone,Individual,Billing,Other,Installation,2024-07-11,,,,,,,,Center A,,julio,28,Thursday
CASE001055,Product B,Agent_019,NOT TP,Chat,Individual,Billing,Hardware,Error,2024-09-09,,,,,,,,Center A,,septiembre,37,Monday
CASE001056,Product C,Agent_043,TP,Email,Individual,General,Account,Question,2024-08-07,,,,,,,,,,agosto,32,Wednesday
CASE001057,Product C,Agent_005,TP,Phone,Individual,Billing,Hardware,Error,2024-09-19,,,,,,,,,,septiembre,38,Thursday
CASE001058,,Agent_017,TP,Email,Individual,Billing,Account,Configuration,2024-09-18,,,,,,,,Center B,,septiembre,38,Wednesday
CASE001059,,Agent_007,TP,Email,Individual,Billing,Account,Error,2024-08-16,,,,,,,,Center B,,agosto,33,Friday
CASE001060,Product C,Agent_013,TP,Chat,Business,Technical,Hardware,Question,2024-09-12,,,,,,WO9172,,,,septiembre,37,Thursday
CASE001061,Product A,Agent_047,TP,Web,Business,Technical,Hardware,Question,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE001062,,Agent_038,NOT TP,Phone,Individual,Technical,Other,Installation,2024-09-29,,,,,,WO9020,,,,septiembre,39,Sunday
CASE001063,Product B,Agent_032,TP,Chat,Individual,Billing,Account,Configuration,2024-07-09,,,,,,,,,,julio,28,Tuesday
CASE001064,,Agent_022,TP,Web,Individual,General,Account,Configuration,2024-07-06,,,,,,,,,Express,julio,27,Saturday
CASE001065,,Agent_023,NOT TP,Email,Individual,Billing,Account,Error,2024-09-23,,Very satisfied,,Problem processing time,,,,,,septiembre,39,Monday
CASE001066,Product C,Agent_009,TP,Phone,Individual,Technical,Other,Installation,2024-07-30,,,,,,,,,,julio,31,Tuesday
CASE001067,,Agent_043,NOT TP,Email,Individual,Technical,Hardware,Installation,2024-08-07,,,,,,,,,,agosto,32,Wednesday
CASE001068,,Agent_042,TP,Email,Individual,Billing,Account,Installation,2024-07-11,,,,,,,,,,julio,28,Thursday
CASE001069,,Agent_016,NOT TP,Phone,Individual,General,Hardware,Question,2024-07-30,,Very satisfied,,Communication skills,,WO9408,,,Premium,julio,31,Tuesday
CASE001070,Product B,Agent_007,NOT TP,Web,Individual,General,Other,Configuration,2024-07-13,,,,,,WO2934,,,,julio,28,Saturday
CASE001071,,Agent_019,TP,Web,Individual,General,Software,Error,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE001072,Product A,Agent_040,TP,Phone,Business,Technical,Hardware,Error,2024-08-05,,,,,,,,,Premium,agosto,32,Monday
CASE001073,Product B,Agent_005,NOT TP,Phone,Business,Technical,Other,Error,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE001074,Product C,Agent_013,NOT TP,Chat,Individual,General,Software,Installation,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001075,,Agent_021,NOT TP,Chat,Individual,Billing,Account,Configuration,2024-08-16,,,,,,,,,,agosto,33,Friday
CASE001076,Product C,Agent_032,NOT TP,Email,Individual,General,Account,Configuration,2024-07-21,,,,,,WO2945,,,,julio,29,Sunday
CASE001077,,Agent_029,TP,Phone,Individual,Billing,Hardware,Question,2024-08-17,,,,,,,,,,agosto,33,Saturday
CASE001078,Product B,Agent_022,TP,Web,Individual,Technical,Software,Question,2024-08-15,,,,,,,,Center C,,agosto,33,Thursday
CASE001079,Product A,Agent_040,TP,Email,Individual,Technical,Other,Question,2024-07-27,,,,,,,,,,julio,30,Saturday
CASE001080,,Agent_043,NOT TP,Email,Business,Technical,Account,Error,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE001081,Product B,Agent_020,NOT TP,Email,Individual,General,Account,Error,2024-08-04,,,,,,,,,,agosto,31,Sunday
CASE001082,,Agent_045,TP,Email,Business,General,Software,Configuration,2024-09-28,,,,,,,,,,septiembre,39,Saturday
CASE001083,,Agent_038,TP,Web,Individual,Technical,Other,Question,2024-09-26,,,,,,,,Center B,Premium,septiembre,39,Thursday
CASE001084,,Agent_010,TP,Email,Individual,Technical,Account,Error,2024-09-21,,,,,,WO5968,,,,septiembre,38,Saturday
CASE001085,Product B,Agent_037,TP,Phone,Individual,Technical,Account,Question,2024-07-10,,,,,,,,,,julio,28,Wednesday
CASE001086,,Agent_037,NOT TP,Chat,Individual,General,Hardware,Question,2024-09-16,,,,,,,,,Premium,septiembre,38,Monday
CASE001087,,Agent_024,NOT TP,Web,Individual,General,Other,Configuration,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001088,,Agent_021,NOT TP,Phone,Individual,Technical,Account,Configuration,2024-07-22,,,,,,,,,,julio,30,Monday
CASE001089,Product A,Agent_028,NOT TP,Phone,Individual,General,Software,Error,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001090,Product A,Agent_011,TP,Phone,Individual,General,Account,Configuration,2024-08-01,,Very satisfied,,,,WO5999,,,,agosto,31,Thursday
CASE001091,,Agent_001,NOT TP,Chat,Individual,General,Other,Question,2024-07-21,,,,,,WO4532,,,,julio,29,Sunday
CASE001092,,Agent_021,NOT TP,Chat,Business,General,Hardware,Configuration,2024-08-29,,,,,,,,,Premium,agosto,35,Thursday
CASE001093,Product A,Agent_016,NOT TP,Chat,Individual,Technical,Account,Question,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE001094,Product B,Agent_015,NOT TP,Phone,Individual,Technical,Software,Question,2024-08-04,,Very satisfied,,Communication skills,,,,,,agosto,31,Sunday
CASE001095,Product B,Agent_046,NOT TP,Chat,Individual,General,Account,Error,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001096,Product C,Agent_048,NOT TP,Email,Business,Technical,Software,Error,2024-09-27,,,,,,,,,,septiembre,39,Friday
CASE001097,,Agent_042,NOT TP,Chat,Individual,Technical,Other,Error,2024-09-10,,,,,,,,,,septiembre,37,Tuesday
CASE001098,Product C,Agent_028,TP,Web,Individual,Technical,Hardware,Question,2024-07-29,,,,,,,,Center A,Standard,julio,31,Monday
CASE001099,,Agent_018,TP,Phone,Individual,Billing,Other,Configuration,2024-09-26,,Dissatisfied,Lack of communication skillsLong processing time,,,,,,,septiembre,39,Thursday
CASE001100,Product C,Agent_024,TP,Phone,Individual,Technical,Account,Error,2024-08-11,,,,,,,,,,agosto,32,Sunday
CASE001101,,Agent_009,NOT TP,Email,Individual,Technical,Account,Error,2024-07-08,,,,,,,,,Standard,julio,28,Monday
CASE001102,Product A,Agent_044,TP,Chat,Business,General,Hardware,Configuration,2024-07-30,,,,,,,,,,julio,31,Tuesday
CASE001103,,Agent_047,NOT TP,Chat,Business,General,Software,Configuration,2024-07-05,,,,,,WO3175,,,,julio,27,Friday
CASE001104,,Agent_022,NOT TP,Web,Individual,Billing,Other,Error,2024-08-10,,,,,,,,,,agosto,32,Saturday
CASE001105,Product C,Agent_031,TP,Email,Individual,Billing,Software,Question,2024-08-21,,,,,,,,,,agosto,34,Wednesday
CASE001106,Product B,Agent_030,NOT TP,Web,Individual,Technical,Account,Question,2024-08-04,,,,,,,,,,agosto,31,Sunday
CASE001107,Product C,Agent_029,NOT TP,Web,Individual,Technical,Software,Error,2024-07-09,,,,,,,,Center B,,julio,28,Tuesday
CASE001108,Product B,Agent_023,TP,Phone,Business,General,Other,Configuration,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE001109,Product A,Agent_050,TP,Phone,Individual,Technical,Software,Question,2024-09-11,,,,,,WO6328,,,,septiembre,37,Wednesday
CASE001110,,Agent_020,TP,Chat,Individual,Technical,Account,Configuration,2024-09-30,,,,,,,,,,septiembre,40,Monday
CASE001111,Product C,Agent_032,TP,Chat,Individual,Technical,Other,Installation,2024-08-10,,,,,,,,,,agosto,32,Saturday
CASE001112,Product A,Agent_036,NOT TP,Web,Business,Technical,Software,Configuration,2024-07-28,,,,,,,,,,julio,30,Sunday
CASE001113,Product B,Agent_007,NOT TP,Chat,Individual,Technical,Software,Configuration,2024-09-22,,,,,,,,Center C,,septiembre,38,Sunday
CASE001114,Product A,Agent_012,NOT TP,Web,Individual,Technical,Other,Installation,2024-09-02,,,,,,WO6554,,,,septiembre,36,Monday
CASE001115,Product A,Agent_042,NOT TP,Chat,Individual,Technical,Account,Question,2024-08-20,,,,,,,,,,agosto,34,Tuesday
CASE001116,Product C,Agent_039,NOT TP,Chat,Individual,Technical,Other,Question,2024-09-21,,,,,,WO8259,,,,septiembre,38,Saturday
CASE001117,,Agent_006,TP,Phone,Business,General,Account,Question,2024-08-28,,,,,,,,Center A,,agosto,35,Wednesday
CASE001118,,Agent_018,NOT TP,Phone,Individual,Billing,Software,Error,2024-07-19,,,,,,,,,,julio,29,Friday
CASE001119,,Agent_009,NOT TP,Phone,Individual,Technical,Other,Installation,2024-08-03,,,,,,WO1406,,,,agosto,31,Saturday
CASE001120,Product B,Agent_035,NOT TP,Phone,Individual,General,Account,Configuration,2024-07-18,,,,,,,,,,julio,29,Thursday
CASE001121,,Agent_013,NOT TP,Email,Business,Technical,Other,Installation,2024-08-01,,,,,,,,,Standard,agosto,31,Thursday
CASE001122,,Agent_017,TP,Phone,Individual,Technical,Software,Installation,2024-09-10,,,,,,,,,Standard,septiembre,37,Tuesday
CASE001123,,Agent_047,TP,Email,Individual,Billing,Other,Installation,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001124,Product A,Agent_041,TP,Phone,Individual,General,Software,Installation,2024-08-03,,,,,,,,,Express,agosto,31,Saturday
CASE001125,Product A,Agent_005,NOT TP,Chat,Individual,Technical,Software,Installation,2024-09-13,,,,,,,,,,septiembre,37,Friday
CASE001126,,Agent_047,NOT TP,Web,Business,Billing,Software,Installation,2024-08-24,,,,,,,,,Standard,agosto,34,Saturday
CASE001127,Product C,Agent_005,NOT TP,Chat,Business,Billing,Account,Error,2024-09-13,,,,,,,,,,septiembre,37,Friday
CASE001128,Product C,Agent_002,TP,Chat,Individual,Technical,Account,Installation,2024-08-21,,,,,,,,,,agosto,34,Wednesday
CASE001129,,Agent_033,NOT TP,Email,Individual,Technical,Hardware,Installation,2024-08-16,,,,,,,,,,agosto,33,Friday
CASE001130,Product B,Agent_041,NOT TP,Phone,Business,General,Account,Question,2024-07-29,,,,,,,,,,julio,31,Monday
CASE001131,Product A,Agent_002,TP,Web,Individual,General,Hardware,Installation,2024-07-18,,,,,,,,,,julio,29,Thursday
CASE001132,,Agent_038,TP,Web,Individual,Technical,Other,Installation,2024-09-04,,,,,,,,,,septiembre,36,Wednesday
CASE001133,,Agent_038,TP,Phone,Individual,Technical,Software,Question,2024-09-02,,Very satisfied,,Problem processing time,,WO2970,,,,septiembre,36,Monday
CASE001134,Product A,Agent_026,NOT TP,Email,Individual,Billing,Account,Question,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001135,Product A,Agent_050,TP,Email,Individual,General,Software,Question,2024-07-07,,,,,,,,,,julio,27,Sunday
CASE001136,,Agent_038,NOT TP,Email,Business,Technical,Hardware,Configuration,2024-07-15,,,,,,WO5504,,,,julio,29,Monday
CASE001137,Product C,Agent_014,NOT TP,Web,Business,Technical,Account,Installation,2024-07-20,,,,,,,,,,julio,29,Saturday
CASE001138,Product A,Agent_003,TP,Email,Individual,General,Account,Installation,2024-09-19,,,,,,,,,,septiembre,38,Thursday
CASE001139,Product B,Agent_036,NOT TP,Email,Individual,Technical,Account,Installation,2024-07-21,,,,,,,,,,julio,29,Sunday
CASE001140,,Agent_017,NOT TP,Web,Individual,Billing,Account,Question,2024-09-26,,,,,,WO8278,,,,septiembre,39,Thursday
CASE001141,Product A,Agent_035,TP,Web,Individual,Billing,Software,Error,2024-08-24,,,,,,,,,,agosto,34,Saturday
CASE001142,,Agent_035,NOT TP,Chat,Individual,Technical,Account,Installation,2024-09-15,,,,,,,,,,septiembre,37,Sunday
CASE001143,Product A,Agent_031,TP,Web,Individual,General,Hardware,Question,2024-07-09,,,,,,,,,,julio,28,Tuesday
CASE001144,Product B,Agent_042,TP,Phone,Business,Billing,Account,Question,2024-08-19,,,,,,,,,,agosto,34,Monday
CASE001145,Product B,Agent_050,TP,Web,Business,General,Hardware,Question,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE001146,,Agent_010,NOT TP,Web,Individual,General,Hardware,Configuration,2024-09-15,,,,,,WO6569,,,Express,septiembre,37,Sunday
CASE001147,Product B,Agent_024,NOT TP,Email,Individual,General,Software,Question,2024-08-29,,,,,,,,,Standard,agosto,35,Thursday
CASE001148,Product C,Agent_026,TP,Chat,Individual,Billing,Account,Error,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE001149,Product B,Agent_015,TP,Email,Business,Billing,Hardware,Configuration,2024-08-02,,,,,,WO6199,,,Standard,agosto,31,Friday
CASE001150,,Agent_050,NOT TP,Chat,Individual,Technical,Account,Question,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE001151,Product B,Agent_038,TP,Email,Individual,General,Software,Error,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE001152,,Agent_047,TP,Phone,Individual,Billing,Software,Error,2024-09-26,,,,,,WO9876,,,,septiembre,39,Thursday
CASE001153,Product C,Agent_019,NOT TP,Email,Business,Billing,Account,Installation,2024-07-15,,,,,,,,,,julio,29,Monday
CASE001154,Product A,Agent_009,NOT TP,Email,Business,Technical,Hardware,Question,2024-09-26,,,,,,,,,Standard,septiembre,39,Thursday
CASE001155,,Agent_030,TP,Phone,Individual,Billing,Other,Question,2024-09-07,No,,,,,,,,,septiembre,36,Saturday
CASE001156,,Agent_033,NOT TP,Phone,Business,Billing,Other,Installation,2024-08-04,,,,,,,,,,agosto,31,Sunday
CASE001157,,Agent_033,NOT TP,Web,Individual,Billing,Software,Error,2024-09-21,,,,,,,,,,septiembre,38,Saturday
CASE001158,Product C,Agent_006,TP,Email,Individual,Technical,Hardware,Question,2024-08-13,,,,,,,,Center A,Premium,agosto,33,Tuesday
CASE001159,,Agent_026,NOT TP,Phone,Business,Technical,Other,Installation,2024-07-15,,,,,,,,,,julio,29,Monday
CASE001160,Product A,Agent_024,TP,Phone,Business,General,Hardware,Installation,2024-08-07,,,,,,,,,,agosto,32,Wednesday
CASE001161,Product C,Agent_033,NOT TP,Web,Individual,Billing,Account,Error,2024-08-25,,Very satisfied,,,,,,,,agosto,34,Sunday
CASE001162,,Agent_001,NOT TP,Chat,Individual,Technical,Software,Error,2024-07-21,,,,,,,,,Standard,julio,29,Sunday
CASE001163,Product A,Agent_043,NOT TP,Phone,Business,Technical,Account,Question,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE001164,Product A,Agent_016,TP,Phone,Business,Technical,Account,Question,2024-07-01,,,,,,,,Center C,,julio,27,Monday
CASE001165,Product A,Agent_040,NOT TP,Email,Business,General,Account,Configuration,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE001166,,Agent_044,TP,Web,Individual,General,Hardware,Error,2024-09-03,,,,,,,,,,septiembre,36,Tuesday
CASE001167,,Agent_011,TP,Email,Business,General,Other,Configuration,2024-07-23,,,,,,,,,,julio,30,Tuesday
CASE001168,Product B,Agent_049,TP,Chat,Business,General,Account,Configuration,2024-09-03,,,,,,,,,,septiembre,36,Tuesday
CASE001169,Product C,Agent_033,NOT TP,Web,Individual,General,Software,Installation,2024-07-14,,,,,,WO2981,,,,julio,28,Sunday
CASE001170,,Agent_009,NOT TP,Email,Business,Billing,Hardware,Installation,2024-09-19,,,,,,,,,,septiembre,38,Thursday
CASE001171,,Agent_029,TP,Phone,Individual,Billing,Other,Question,2024-08-08,,,,,,,,Center B,,agosto,32,Thursday
CASE001172,,Agent_011,NOT TP,Phone,Individual,Technical,Account,Error,2024-09-20,,Satisfied,,Response time,,,,Center C,,septiembre,38,Friday
CASE001173,Product C,Agent_012,TP,Web,Individual,General,Software,Error,2024-09-03,,Satisfied,,,,,,,,septiembre,36,Tuesday
CASE001174,,Agent_037,NOT TP,Phone,Individual,General,Account,Configuration,2024-09-16,,,,,,,,,,septiembre,38,Monday
CASE001175,Product C,Agent_037,TP,Email,Individual,Technical,Other,Configuration,2024-07-26,,,,,,,,,Standard,julio,30,Friday
CASE001176,,Agent_043,NOT TP,Web,Business,Billing,Other,Question,2024-07-20,,,,,,WO5412,,,,julio,29,Saturday
CASE001177,Product C,Agent_010,TP,Phone,Individual,General,Account,Installation,2024-08-17,,,,,,,,,,agosto,33,Saturday
CASE001178,Product A,Agent_048,NOT TP,Phone,Individual,General,Account,Error,2024-07-21,,,,,,,,,,julio,29,Sunday
CASE001179,Product B,Agent_047,TP,Chat,Business,General,Hardware,Error,2024-09-08,,,,,,,,Center A,,septiembre,36,Sunday
CASE001180,,Agent_031,TP,Chat,Individual,Billing,Other,Error,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE001181,Product B,Agent_023,TP,Web,Individual,Billing,Other,Error,2024-07-01,,,,,,,,,,julio,27,Monday
CASE001182,,Agent_003,NOT TP,Chat,Individual,General,Account,Installation,2024-09-15,,,,,,,,,Premium,septiembre,37,Sunday
CASE001183,,Agent_015,NOT TP,Email,Individual,General,Software,Question,2024-08-11,Yes,,,,,WO5409,,,,agosto,32,Sunday
CASE001184,,Agent_049,TP,Phone,Individual,Technical,Account,Question,2024-09-01,,,,,,,,,,septiembre,35,Sunday
CASE001185,Product C,Agent_032,NOT TP,Phone,Business,Technical,Account,Installation,2024-07-03,,,,,,,,,,julio,27,Wednesday
CASE001186,Product B,Agent_015,NOT TP,Phone,Individual,Billing,Other,Question,2024-07-15,,,,,,,,,Express,julio,29,Monday
CASE001187,Product A,Agent_005,NOT TP,Web,Business,Technical,Hardware,Question,2024-08-16,,,,,,,,,,agosto,33,Friday
CASE001188,Product A,Agent_017,NOT TP,Web,Individual,General,Account,Configuration,2024-08-09,,,,,,,,,,agosto,32,Friday
CASE001189,,Agent_024,TP,Chat,Individual,Billing,Software,Installation,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE001190,Product C,Agent_015,TP,Phone,Individual,Technical,Software,Question,2024-07-08,,,,,,,,Center A,,julio,28,Monday
CASE001191,Product B,Agent_003,NOT TP,Phone,Business,Billing,Account,Configuration,2024-07-31,,,,,,,,,Premium,julio,31,Wednesday
CASE001192,Product B,Agent_043,NOT TP,Phone,Individual,General,Software,Installation,2024-09-11,,,,,,WO9199,,,,septiembre,37,Wednesday
CASE001193,Product A,Agent_014,NOT TP,Phone,Individual,Technical,Software,Installation,2024-07-11,,,,,,,,,,julio,28,Thursday
CASE001194,Product C,Agent_034,TP,Phone,Individual,Technical,Account,Error,2024-07-11,,,,,,WO7116,,,Standard,julio,28,Thursday
CASE001195,Product C,Agent_024,TP,Email,Individual,Technical,Software,Configuration,2024-09-01,,,,,,,,,,septiembre,35,Sunday
CASE001196,Product B,Agent_025,NOT TP,Phone,Individual,General,Software,Configuration,2024-07-09,,,,,,,,,,julio,28,Tuesday
CASE001197,,Agent_031,NOT TP,Email,Individual,Billing,Account,Configuration,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001198,Product B,Agent_030,NOT TP,Phone,Individual,Technical,Other,Installation,2024-07-17,,,,,,WO8401,,,,julio,29,Wednesday
CASE001199,Product A,Agent_003,NOT TP,Web,Business,Billing,Hardware,Error,2024-07-17,,,,,,,,Center C,,julio,29,Wednesday
CASE001200,,Agent_003,NOT TP,Web,Individual,Billing,Hardware,Installation,2024-09-23,,,,,,WO5739,,,,septiembre,39,Monday
CASE001201,,Agent_042,TP,Email,Individual,Billing,Other,Question,2024-08-30,,,,,,,,,,agosto,35,Friday
CASE001202,Product A,Agent_021,TP,Phone,Individual,General,Account,Question,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE001203,Product A,Agent_007,NOT TP,Web,Individual,General,Other,Question,2024-07-22,,,,,,,,,Express,julio,30,Monday
CASE001204,Product A,Agent_046,NOT TP,Web,Business,Technical,Hardware,Error,2024-08-03,,,,,,WO5477,,,,agosto,31,Saturday
CASE001205,,Agent_034,TP,Phone,Individual,Technical,Hardware,Installation,2024-09-06,,,,,,,,,,septiembre,36,Friday
CASE001206,Product B,Agent_041,TP,Phone,Individual,Billing,Hardware,Configuration,2024-09-16,,,,,,WO7228,,Center C,,septiembre,38,Monday
CASE001207,Product A,Agent_018,NOT TP,Web,Business,Billing,Hardware,Question,2024-08-24,,,,,,WO4485,,,,agosto,34,Saturday
